DrugBank_Name	DrugBank_ID	Synonyms	Targets_List_STRINGIDs	Targets_List_GeneNames	Targets_List
td-2749	DB05905		9606.ENSP00000353915	HTR4	Q13639
ccr5 mab	DB05906		9606.ENSP00000292303	CCR5	P51681
osi-930	DB05913		"9606.ENSP00000282397, 9606.ENSP00000288135"	"FLT1, KIT"	"P17948, P10721"
stamulumab	DB05915	myo 029 | myo-029 | myo029	9606.ENSP00000260950	MSTN	O14793
ct-011	DB05916		9606.ENSP00000335062	PDCD1	Q15116
rta 744	DB05920		9606.ENSP00000411532	TOP2A	P11388
dovitinib	DB05928	dovitinib	9606.ENSP00000336528	NR1I2	O75469
sb-559448	DB05930		9606.ENSP00000361548	MPL	P40238
pegdinetanib	DB05931	pegdinetanib	9606.ENSP00000263923	KDR	P35968
denibulin	DB05932	denibulin	"9606.ENSP00000261937, 9606.ENSP00000282397"	"FLT4, FLT1"	"P35916, P17948, P15692"
mk-4721	DB05933	anti-psca monoclonal antibody ags-1c4d4	9606.ENSP00000301258	PSCA	O43653
ctce-0214	DB05934		9606.ENSP00000379140	CXCL12	P48061
cvt-6883	DB05936		9606.ENSP00000304501	ADORA2B	P29275
edonerpic	DB05938	edonerpic	9606.ENSP00000284981	APP	P05067
mk-0354	DB05939		9606.ENSP00000380281	GPER1	Q99527
leronlimab	DB05941	leronlimab	9606.ENSP00000292303	CCR5	P51681
resatorvid	DB05943	resatorvid	"9606.ENSP00000363318, 9606.ENSP00000384053"	"IL2RG, CSF2RB"	"P31785, P32927"
varlitinib	DB05944	varlitinib	"9606.ENSP00000269571, 9606.ENSP00000275493"	"ERBB2, EGFR"	"P04626, P00533"
mdx-1303	DB05945	"immunoglobulin, anti-(bacillus anthracis anthrax protective antigen) (human monoclonal 5e8 heavy chain), disulfide with human monoclonal 5e8 light chain, dimer | mab-1303"	"9606.ENSP00000306185, 9606.ENSP00000301945"	"ANTXR2, ANTXR1"	"P58335, Q9H6X2"
contulakin-g	DB05950		9606.ENSP00000360423	CACNA1B	Q00975
evt-101	DB05956		"9606.ENSP00000419692, 9606.ENSP00000477455"	"RXRA, GRIN2B"	"P19793, Q13224"
enmd-1198	DB05959		"9606.ENSP00000437955, 9606.ENSP00000465500, 9606.ENSP00000264657"	"HIF1A, TNFRSF11A, STAT3"	"Q16665, Q9Y6Q6, P40763"
ppl-100	DB05961		"9606.ENSP00000416066, 9606.ENSP00000333203, 9606.ENSP00000278407"	"SERPINA1, SERPINA5, SERPING1"	"P01009, P05154, P05155"
amitifadine	DB05964		"9606.ENSP00000219833, 9606.ENSP00000261707, 9606.ENSP00000354859"	"SLC6A2, SLC6A4, DRD2"	"P23975, P31645, P14416"
tas-108	DB05966		"9606.ENSP00000405330, 9606.ENSP00000343925"	"ESR1, ESR2"	"P03372, Q92731"
anz-100	DB05967		9606.ENSP00000234371	KISS1R	Q969F8
pr-104	DB05968		9606.ENSP00000398698	TNF	P01375
sns-032	DB05969		9606.ENSP00000256443	CDK7	"P15692, P50613"
archexin	DB05971	"20-mer complementary to akt mrna | 5'-dg-dc-t-dg-dc-da-t-dg-da-t-dc-t-dc-dc-t-t-dg-dg-dc-dg-3' | 5'-dg-dc-t-dg-dc-da-t-dg-da-t-dc-t-dc-dc-t-t-dg-dg-dc-dg-3', sodium phosphothioate"	9606.ENSP00000451828	AKT1	P31749
bardoxolone methyl	DB05983	bardoxolone methyl	9606.ENSP00000216797	NFKBIA	P25963
raf-265	DB05984		"9606.ENSP00000263923, 9606.ENSP00000419060"	"KDR, BRAF"	"P35968, P15056"
obeticholic acid	DB05990	"(3î±,5î²,6î±,7î±)-6-ethyl-3,7-dihydroxycholan-24-oic acid | 6-alpha-ethylchenodeoxycholic acid | 6-ecdca | 6-ethyl-cdca | 6-ethylchenodeoxycholic acid | 6alpha-ethyl-chenodeoxycholic acid | 6î±-ethylchenodeoxycholic acid | obeticholic acid"	9606.ENSP00000447149	NR1H4	Q96RI1
plinabulin	DB05992	plinabulin	9606.ENSP00000398698	TNF	P01375
prx-07034	DB05993		9606.ENSP00000289753	HTR6	P50406
glembatumumab vedotin	DB05996	glembatumumab vedotin	9606.ENSP00000371420	GPNMB	Q14956
amg-222	DB06011		9606.ENSP00000353731	DPP4	P27487
aldoxorubicin	DB06013	aldoxorubicin	9606.ENSP00000411532	TOP2A	P11388
cariprazine	DB06016	"cariprazine | trans-n-{4-[2-[4-(2,3-dichlorophenyl)piperazine-1-yl]ethyl]cyclohexyl}-nâ,nâ-dimethylurea hydrochloride"	"9606.ENSP00000316244, 9606.ENSP00000258400, 9606.ENSP00000380247, 9606.ENSP00000437737, 9606.ENSP00000369960, 9606.ENSP00000276198, 9606.ENSP00000373169, 9606.ENSP00000354859"	"HTR1A, HTR2B, HRH1, HTR2A, ADRA1A, HTR2C, DRD3, DRD2"	"P08908, P41595, P35367, P28223, P35348, P28335, P35462, P14416"
av-412	DB06021		"9606.ENSP00000269571, 9606.ENSP00000275493"	"ERBB2, EGFR"	"P04626, P00533"
filanesib	DB06040	filanesib	9606.ENSP00000260731	KIF11	P52732
zen-012	DB06042		"9606.ENSP00000217133, 9606.ENSP00000339001, 9606.ENSP00000411532, 9606.ENSP00000264071, 9606.ENSP00000320295, 9606.ENSP00000264331"	"TUBB1, TUBB, TOP2A, TUBB4A, TUBB3, TOP2B"	"Q9H4B7, P07437, P11388, P04350, Q13509, Q02880"
olaratumab	DB06043	olaratumab	9606.ENSP00000257290	PDGFRA	P16234
tb-402	DB06050		9606.ENSP00000353393	F8	P00451
azd-8330	DB06061		9606.ENSP00000382423	MAP3K1	Q13233
kai-1455	DB06064		9606.ENSP00000306124	PRKCE	Q02156
xmt-1001	DB06069		9606.ENSP00000354522	TOP1	P11387
snx-5422	DB06070		"9606.ENSP00000335153, 9606.ENSP00000360609"	"HSP90AA1, HSP90AB1"	"P07900, P08238"
cts-21166	DB06073		9606.ENSP00000318585	BACE1	P56817
linsitinib	DB06075	linsitinib	"9606.ENSP00000303830, 9606.ENSP00000497069"	"INSR, IGF1R"	"P06213, P08069"
lumateperone	DB06077	lumateperone	"9606.ENSP00000377353, 9606.ENSP00000477455, 9606.ENSP00000437737, 9606.ENSP00000261707, 9606.ENSP00000354859"	"DRD1, GRIN2B, HTR2A, SLC6A4, DRD2"	"P21728, Q13224, P28223, P31645, P14416"
linifanib	DB06080	"1-(4-(3-amino-1h-indazol-4-yl)phenyl)-3-(2-fluoro-5-methylphenyl)urea | linifanib | n-[4-(3-amino-1h-indazol-4-yl)phenyl]-n1-(2-fluoro-5-methylphenyl) urea | urea, n-(4-(3-amino-1h-indazol-4-yl)phenyl)-n'-(2-fluoro-5-methylphenyl)-"	"9606.ENSP00000261937, 9606.ENSP00000282397, 9606.ENSP00000241453, 9606.ENSP00000263923, 9606.ENSP00000288135, 9606.ENSP00000286301"	"FLT4, FLT1, FLT3, KDR, KIT, CSF1R"	"P35916, P17948, P36888, P35968, P10721, P07333"
caplacizumab	DB06081	caplacizumab | caplacizumab-yhdp	9606.ENSP00000261405	VWF	P04275
px-478	DB06082		9606.ENSP00000437955	HIF1A	Q16665
tapinarof	DB06083	"3,5-dihydroxy-4-isopropyl-trans-stilbene | benvitimod | tapinarof"	9606.ENSP00000242057	AHR	P35869
ica-105665	DB06089		"9606.ENSP00000155840, 9606.ENSP00000352035, 9606.ENSP00000373648, 9606.ENSP00000262916, 9606.ENSP00000345055"	"KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5"	"P51787, O43526, O43525, P56696, Q9NR82"
bradanicline	DB06090	bradanicline	9606.ENSP00000407546	CHRNA7	P36544
apatorsen	DB06094	apatorsen	9606.ENSP00000248553	HSPB1	P04792
nxn-188	DB06096		"9606.ENSP00000477999, 9606.ENSP00000363748, 9606.ENSP00000358963"	"NOS1, HTR1D, HTR1B"	"P29475, P28221, P28222"
gsk-923295	DB06097		9606.ENSP00000265148	CENPE	Q02224
prlx 93936	DB06098		"9606.ENSP00000361635, 9606.ENSP00000428845"	"VDAC2, VDAC3"	"P45880, Q9Y277"
imc-1c11	DB06101		"9606.ENSP00000261937, 9606.ENSP00000282397, 9606.ENSP00000263923"	"FLT4, FLT1, KDR"	"P35916, P17948, P35968"
vx-148	DB06103		"9606.ENSP00000321584, 9606.ENSP00000345096"	"IMPDH2, IMPDH1"	"P12268, P20839"
ykp-1358	DB06109		"9606.ENSP00000437737, 9606.ENSP00000354859"	"HTR2A, DRD2"	"P28223, P14416"
eldelumab	DB06116	eldelumab	9606.ENSP00000305651	CXCL10	P02778
l-aminocarnityl-succinyl-leucyl-argininal-diethylacetal	DB06124		9606.ENSP00000380349	CAPN3	P20807
bisegliptin	DB06127	bisegliptin	9606.ENSP00000353731	DPP4	P27487
dimethylcurcumin	DB06133		9606.ENSP00000363822	AR	P10275
sns-314	DB06134	"1-(3-chlorophenyl)-3-{5-[2-(thieno[3,2-d]pyrimidin-4-ylamino)ethyl]-1,3-thiazol-2-yl}urea"	"9606.ENSP00000216911, 9606.ENSP00000302898"	"AURKA, AURKC"	"O14965, Q9UQB9"
tirbanibulin	DB06137	tirbanibulin	"9606.ENSP00000339001, 9606.ENSP00000362680"	"TUBB, SRC"	"P07437, P12931"
irl-1620	DB06138		9606.ENSP00000366416	EDNRB	P24530
suvn-502	DB06140		9606.ENSP00000289753	HTR6	P50406
sertindole	DB06144	1-[2-[4-[5-chloro-1-(4-fluorophenyl)-indol-3-yl]-1-piperidyl]ethyl]imidazolidin-2-one | sertindol | sertindole | sertindolum	"9606.ENSP00000262186, 9606.ENSP00000437737, 9606.ENSP00000369960, 9606.ENSP00000276198, 9606.ENSP00000306662, 9606.ENSP00000368766, 9606.ENSP00000354859, 9606.ENSP00000289753"	"KCNH2, HTR2A, ADRA1A, HTR2C, ADRA1B, ADRA1D, DRD2, HTR6"	"Q12809, P28223, P35348, P28335, P35368, P25100, P14416, P50406"
mianserin	DB06148	"1,2,3,4,10,14b-hexahydro-2-methyldibenzo(c,f)pyrazino(1,2-a)azepine | mianserin | mianserina | mianserine | miansã©rine | mianserinum | mianseryna"	"9606.ENSP00000256906, 9606.ENSP00000280155, 9606.ENSP00000316244, 9606.ENSP00000386069, 9606.ENSP00000258400, 9606.ENSP00000380247, 9606.ENSP00000437737, 9606.ENSP00000322924, 9606.ENSP00000219833, 9606.ENSP00000276198, 9606.ENSP00000480573, 9606.ENSP00000373169, 9606.ENSP00000270349, 9606.ENSP00000337949, 9606.ENSP00000261707, 9606.ENSP00000354859, 9606.ENSP00000289753, 9606.ENSP00000369960, 9606.ENSP00000306662, 9606.ENSP00000368766, 9606.ENSP00000377353, 9606.ENSP00000306129"	"HRH4, ADRA2A, HTR1A, ADRA2C, HTR2B, HRH1, HTR2A, HTR1F, SLC6A2, HTR2C, ADRA2B, DRD3, SLC6A3, HTR7, SLC6A4, DRD2, HTR6, ADRA1A, ADRA1B, ADRA1D, DRD1, DRD5"	"Q9H3N8, P08913, P08908, P18825, P41595, P35367, P28223, P30939, P23975, P28335, P18089, P35462, P41145, Q01959, P34969, P31645, P14416, P50406, P35348, P35368, P25100, P21728, P21918"
acetylcysteine	DB06151	(2r)-2-acetylamino-3-sulfanylpropanoic acid | (r)-2-acetylamino-3-mercaptopropanoic acid | (r)-mercapturic acid | acetilcisteina | acetylcysteine | acetylcysteinum | l-acetylcysteine | l-î±-acetamido-î²-mercaptopropionic acid | mercapturic acid | n-acetyl-l-(+)-cysteine | n-acetyl-l-cysteine | n-acetylcysteine | nac	"9606.ENSP00000280612, 9606.ENSP00000495750, 9606.ENSP00000360608, 9606.ENSP00000263269, 9606.ENSP00000477455, 9606.ENSP00000384296, 9606.ENSP00000355155, 9606.ENSP00000332549, 9606.ENSP00000430684, 9606.ENSP00000359424"	"SLC7A11, GSS, GRIN1, GRIN2D, GRIN2B, ACY1, GRIN3A, GRIN2A, IKBKB, CHUK"	"Q9UPY5, P48637, Q05586, O15399, Q13224, Q03154, Q8TCU5, Q12879, O14920, O15111"
nylidrin	DB06152	bufenina | buphenin | buphenine | bupheninum	"9606.ENSP00000385019, 9606.ENSP00000343957"	"CACNA1I, IFNAR2"	"Q9P0X4, P48551"
pizotifen	DB06153	pizotifen | pizotifeno | pizotyline	"9606.ENSP00000255380, 9606.ENSP00000306490, 9606.ENSP00000280155, 9606.ENSP00000316244, 9606.ENSP00000386069, 9606.ENSP00000258400, 9606.ENSP00000380247, 9606.ENSP00000437737, 9606.ENSP00000369960, 9606.ENSP00000276198, 9606.ENSP00000399745, 9606.ENSP00000480573, 9606.ENSP00000306662, 9606.ENSP00000368766, 9606.ENSP00000358963"	"CHRM3, CHRM1, ADRA2A, HTR1A, ADRA2C, HTR2B, HRH1, HTR2A, ADRA1A, HTR2C, CHRM2, ADRA2B, ADRA1B, ADRA1D, HTR1B"	"P20309, P11229, P08913, P08908, P18825, P41595, P35367, P28223, P35348, P28335, P08172, P18089, P35368, P25100, P28222"
pentaerythritol tetranitrate	DB06154	corpent | pent | penta | pentaerithrityl tetranitrate | pentaerithrityli tetranitras | pentaerythritol tetranitrate | penthrite | ten | tetranitrate de pentaerithrityle | tetranitrato de pentaeritritilo	"9606.ENSP00000251595, 9606.ENSP00000494175"	"HBA1, HBB"	"P69905, P68871"
rimonabant	DB06155	rimonabant	"9606.ENSP00000358513, 9606.ENSP00000498258"	"CNR1, GPR55"	"P21554, Q9Y2T6"
tesofensine	DB06156	tesofensine	"9606.ENSP00000219833, 9606.ENSP00000270349, 9606.ENSP00000261707"	"SLC6A2, SLC6A3, SLC6A4"	"P23975, Q01959, P31645"
istaroxime	DB06157	"(e,z)-istaroxime | 3-((2-aminoethoxy)imino)-5alpha-androstan-6,17-dione | istaroxime"	"9606.ENSP00000445306, 9606.ENSP00000440045"	"ATP1A1, ATP2A2"	"P05023, P16615"
rubitecan	DB06159	"1h-pyrano(3',4':6,7)indolizino(1,2-b)quinoline-3,14(4h,12h)-dione, 4-ethyl-4-hydroxy-10-nitro-, (4s)- | 9-nc | 9-nitro-(20s)-camptothecin | 9-nitro-20-(s)-camptothecin | 9-nitro-20(s)-camptothecin | 9-nitrocamptothecin | 9nc | rubitecã¡n | rubitã©can | rubitecan | rubitecanum"	9606.ENSP00000354522	TOP1	P11387
lumiliximab	DB06162	"gomiliximab | immunoglobulin g1, anti-(human immunoglobulin e receptor type ii) (human-macaca irus monoclonal idec-152 .gamma.1-chain), disulfide with human-macaca irus monoclonal idec-152 .kappa.-chain, dimer | immunoglobulin g1, anti-(human immunoglobulin e receptor type ii) (human-macaca irus monoclonal idec-152 .gamma.1-chain), disulphide with human-macaca irus monoclonal idec-152 .kappa.-chain, dimer | lumiliximab | primatized anti-cd23"	9606.ENSP00000264072	FCER2	P06734
canakinumab	DB06168	canakinumab	9606.ENSP00000263341	IL1B	P01584
noscapine	DB06174	(â)-narcotine | (â)-î±-narcotine | alpha-narcotine | noscapina | noscapine | noscapinum	9606.ENSP00000277010	SIGMAR1	Q99720
romidepsin	DB06176	romidepsin | romidepsina | romidepsine | romidepsinum	"9606.ENSP00000382342, 9606.ENSP00000362649, 9606.ENSP00000430432, 9606.ENSP00000365804, 9606.ENSP00000264606, 9606.ENSP00000362649, 9606.ENSP00000216271, 9606.ENSP00000295757, 9606.ENSP00000430432, 9606.ENSP00000302967, 9606.ENSP00000264606, 9606.ENSP00000225983, 9606.ENSP00000365804, 9606.ENSP00000080059, 9606.ENSP00000362674, 9606.ENSP00000408617"	"ABCC1, HDAC1, HDAC2, HDAC6, HDAC4, HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"	"P33527, Q13547, Q92769, Q9UBN7, P56524, Q13547, Q969S8, Q96DB2, Q92769, O15379, P56524, Q9UQL6, Q9UBN7, Q8WUI4, Q9BY41, Q9UKV0"
aeg35156	DB06184		9606.ENSP00000360242	XIAP	P98170
forodesine	DB06185	"(1s)-1,4-dideoxy-4-imino-(9-deazahypoxanthin-9-yl)-d-ribitol | 1,4-dideoxy-4-aza-1-(s)-(9-deazahypoxanthin-9-yl)-d-ribitol | forodesine | immucillin h | immucillin-h"	9606.ENSP00000354532	PNP	P00491
ipilimumab	DB06186	ipilimumab	9606.ENSP00000497102	CTLA4	P16410
solabegron	DB06190	solabegron	9606.ENSP00000343782	ADRB3	P13945
zosuquidar	DB06191	zosuquidar	9606.ENSP00000478255	ABCB1	P08183
elocalcitol	DB06194	elocalcitol			P11473
seliciclib	DB06195	2-(r)-(1-ethyl-2-hydroxyethylamino)-6-benzylamino-9-isopropylpurine | r-roscovitine | seliciclib	"9606.ENSP00000215832, 9606.ENSP00000263025, 9606.ENSP00000266970, 9606.ENSP00000378699, 9606.ENSP00000256443, 9606.ENSP00000362361, 9606.ENSP00000380044"	"MAPK1, MAPK3, CDK2, CDK1, CDK7, CDK9, CSNK1E"	"P28482, P27361, P24941, P06493, P50613, P50750, P49674"
icatibant	DB06196	icatibant	"9606.ENSP00000300060, 9606.ENSP00000450482"	"ANPEP, BDKRB2"	"P15144, P30411"
atrasentan	DB06199	atrasentan	9606.ENSP00000315011	EDNRA	P25101
rufinamide	DB06201	rufinamida | rufinamide | xilep 	"9606.ENSP00000386306, 9606.ENSP00000306138"	"SCN9A, GRM5"	"Q15858, P41594"
lasofoxifene	DB06202	"(-)-cis-5,6,7,8-tetrahydro-6-phenyl-5-(p-(2-(1-pyrrolidinyl)ethoxy)phenyl)-2-naphthol | lasofoxifene"	"9606.ENSP00000363596, 9606.ENSP00000405330, 9606.ENSP00000343925"	"CNR2, ESR1, ESR2"	"P34972, P03372, Q92731"
alogliptin	DB06203	alogliptin | alogliptina | alogliptine | alogliptinum	9606.ENSP00000353731	DPP4	P27487
tapentadol	DB06204	"3-[(1r,2r)-3-(dimethylamino)-1-ethyl-2-methylpropyl]phenol | phenol, 3-((1r,2r)-3-(dimethylamino)-1-ethyl-2-methylpropyl)- | tapentadol"	"9606.ENSP00000234961, 9606.ENSP00000219833, 9606.ENSP00000261707, 9606.ENSP00000394624"	"OPRD1, SLC6A2, SLC6A4, OPRM1"	"P41143, P23975, P41145, P31645, P35372"
hyaluronidase (human recombinant)	DB06205	"hyaluronidase (human recombinant) | hyaluronidase human recombinant | hyaluronidase recombinant human | hyaluronidase, human | recombinant human hyaluronidase | vorhyaluronidase alfa"	9606.ENSP00000221930	TGFB1	P01137
silodosin	DB06207	silodosin | silodosina	"9606.ENSP00000369960, 9606.ENSP00000306662, 9606.ENSP00000368766, 9606.ENSP00000262186, 9606.ENSP00000463533, 9606.ENSP00000331727"	"ADRA1A, ADRA1B, ADRA1D, KCNH2, KCNH6, KCNH7"	"P35348, P35368, P25100, Q12809, Q9H252, Q9NS40"
prasugrel	DB06209	prasugrel	9606.ENSP00000307259	P2RY12	Q9H244
eltrombopag	DB06210	eltrombopag | eltrombopagum	9606.ENSP00000361548	MPL	P40238
tolvaptan	DB06212		"9606.ENSP00000299178, 9606.ENSP00000496396"	"AVPR1A, AVPR2"	"P37288, P30518"
regadenoson	DB06213	regadenoson | regadenoson anhydrous	9606.ENSP00000480012	ADORA2A	P29274
asenapine	DB06216	asenapina | asenapine	"9606.ENSP00000377353, 9606.ENSP00000366506, 9606.ENSP00000358301, 9606.ENSP00000280155, 9606.ENSP00000316244, 9606.ENSP00000386069, 9606.ENSP00000176183, 9606.ENSP00000258400, 9606.ENSP00000380247, 9606.ENSP00000437737, 9606.ENSP00000369960, 9606.ENSP00000276198, 9606.ENSP00000480573, 9606.ENSP00000373169, 9606.ENSP00000337949, 9606.ENSP00000305372, 9606.ENSP00000354859, 9606.ENSP00000358963, 9606.ENSP00000289753, 9606.ENSP00000287907"	"DRD1, HRH2, ADRB1, ADRA2A, HTR1A, ADRA2C, DRD4, HTR2B, HRH1, HTR2A, ADRA1A, HTR2C, ADRA2B, DRD3, HTR7, ADRB2, DRD2, HTR1B, HTR6, HTR5A"	"P21728, P25021, P08588, P08913, P08908, P18825, P21917, P41595, P35367, P28223, P35348, P28335, P18089, P35462, P34969, P07550, P14416, P28222, P50406, P47898"
vernakalant	DB06217	"(3r)-1-((1r,2r)-2-(2-(3,4-dimethoxyphenyl)ethoxy)cyclohexyl)pyrrolidin-3-ol | vernakalant"	"9606.ENSP00000262186, 9606.ENSP00000328968, 9606.ENSP00000319591, 9606.ENSP00000252321"	"KCNH2, SCN5A, KCND3, KCNA5"	"Q12809, Q14524, Q9UK17, P22460"
lacosamide	DB06218	"(+)-(2r)-2-(acetylamino)-n-benzyl-3-methoxypropanamide | (2r)-2-(acetylamino)-3-methoxy-n-(phenylmethyl)propanamide | (r)-2-acetamido-n-benzyl-3- methoxypropionamide | (r)-lacosamide 1 | erlosamide | harkoseride | lacosamida | lacosamide | propanamide, 2-(acetylamino)-3-methoxy-n-(phenylmethyl)-, (2r)-"	"9606.ENSP00000390600, 9606.ENSP00000386306, 9606.ENSP00000283254"	"SCN10A, SCN9A, SCN3A"	"Q9Y5Y9, Q15858, Q9NY46"
nelipepimut-s	DB06226	nelipepimut s | nelipepimut-s	"9606.ENSP00000379873, 9606.ENSP00000379873"	"HLA-A, HLA-A"	"P04439, P04439"
rivaroxaban	DB06228	rivaroxaban	9606.ENSP00000364709	F10	P00742
ocaperidone	DB06229	ocaperidona | ocaperidone | ocaperidonum	"9606.ENSP00000280155, 9606.ENSP00000386069, 9606.ENSP00000258400, 9606.ENSP00000380247, 9606.ENSP00000437737, 9606.ENSP00000369960, 9606.ENSP00000276198, 9606.ENSP00000480573, 9606.ENSP00000306662, 9606.ENSP00000368766, 9606.ENSP00000354859"	"ADRA2A, ADRA2C, HTR2B, HRH1, HTR2A, ADRA1A, HTR2C, ADRA2B, ADRA1B, ADRA1D, DRD2"	"P08913, P18825, P41595, P35367, P28223, P35348, P28335, P18089, P35368, P25100, P14416"
nalmefene	DB06230	nalmefene | nalmefeno	"9606.ENSP00000234961, 9606.ENSP00000394624"	"OPRD1, OPRM1"	"P41143, P41145, P35372"
caldaret	DB06231	caldaret	9606.ENSP00000384763	SLC8A1	P32418
ridaforolimus	DB06233	deforolimus | ridaforolimus	9606.ENSP00000354558	MTOR	P42345
avanafil	DB06237	(s)-4-(3-chloro-4-methoxybenzylamino)-2-(2-hydroxymethylpyrrolidin-1-yl)-n-pyrimidin-2-ylmethyl-5-pyrimidinecarboxamide | avanafil | avanafilo	9606.ENSP00000347046	PDE5A	O76074
tariquidar	DB06240	tariquidar	9606.ENSP00000478255	ABCB1	P08183
clenoliximab	DB06241	clenoliximab	9606.ENSP00000011653	CD4	P01730
eflornithine	DB06243	"(rs)-2,5-diamino-2-(difluoromethyl)pentanoic acid | 2-(difluoromethyl)ornithine | alpha-difluoromethylornithine | dfmo | eflornithine | î±-difluoromethylornithine"	9606.ENSP00000234111	ODC1	P11926
lanoteplase	DB06245	lanoteplase	"9606.ENSP00000364709, 9606.ENSP00000498441, 9606.ENSP00000339328, 9606.ENSP00000401645, 9606.ENSP00000247461, 9606.ENSP00000301420, 9606.ENSP00000346032, 9606.ENSP00000346839, 9606.ENSP00000252999, 9606.ENSP00000296130, 9606.ENSP00000449404, 9606.ENSP00000222399, 9606.ENSP00000258341, 9606.ENSP00000374309, 9606.ENSP00000320866, 9606.ENSP00000243077, 9606.ENSP00000324532"	"F10, FGA, PLAUR, SERPINB2, CANX, KLK1, ANXA2, FN1, LAMA5, CLEC3B, KRT8, LAMB1, LAMC1, LAMA1, CALR, LRP1, LAMA3"	"P00742, P02671, Q03405, P05120, P27824, P06870, P07355, P02751, O15230, P05452, P05787, P07942, P11047, P25391, P27797, Q07954, Q16787"
exisulind	DB06246	5-fluoro-2-methyl-1-((z)-p-(methylsulfonyl)benzylidene)indene-3-acetic acid | cis-5-fluoro-2-methyl-1-(p-methylsulfonylbenzylidenyl)indene-3-acetic acid | exisulind | sulindac sulfone	"9606.ENSP00000347046, 9606.ENSP00000285930, 9606.ENSP00000381607, 9606.ENSP00000345502, 9606.ENSP00000334910, 9606.ENSP00000347689, 9606.ENSP00000352584"	"PDE5A, AKR1B1, GSTP1, PDE4D, PDE2A, PDE4C, AKR1B10"	"O76074, P15121, P09211, Q08499, O00408, Q08493, O60218"
cx516	DB06247		9606.ENSP00000428994	GRIA1	P42261
amelubant	DB06248	"amelubant | carbamic acid, n-[[4-[[3-[[4-[1-(4-hydroxyphenyl)-1-methylethyl]phenoxy]methyl]phenyl]methoxy]phenyl]iminomethyl]-, ethyl ester"	"9606.ENSP00000445772, 9606.ENSP00000380008"	"LTB4R2, LTB4R"	"Q9NPC1, Q15722"
arzoxifene	DB06249	arzoxifene	"9606.ENSP00000405330, 9606.ENSP00000343925"	"ESR1, ESR2"	"P03372, Q92731"
incadronic acid	DB06255	cimadronate | incadronate | incadronic acid	"9606.ENSP00000349078, 9606.ENSP00000311032, 9606.ENSP00000358327, 9606.ENSP00000388566"	"FDPS, CASP3, CASP7, CASP4"	"P14324, P42574, P55210, P49662"
bimoclomol	DB06258	bimoclomol	9606.ENSP00000431512	HSF1	Q00613
droxidopa	DB06262	dops | droxidopa | l-dihydroxyphenylserine | l-dops | l-threo-dihydroxyphenylserine	"9606.ENSP00000358301, 9606.ENSP00000280155, 9606.ENSP00000386069, 9606.ENSP00000369960, 9606.ENSP00000480573, 9606.ENSP00000306662, 9606.ENSP00000305372, 9606.ENSP00000368766, 9606.ENSP00000448059, 9606.ENSP00000343782"	"ADRB1, ADRA2A, ADRA2C, ADRA1A, ADRA2B, ADRA1B, ADRB2, ADRA1D, PAH, ADRB3"	"P08588, P08913, P18825, P35348, P18089, P35368, P07550, P25100, P00439, P13945"
amrubicin	DB06263	amrubicin	9606.ENSP00000411532	TOP2A	P11388
lonidamine	DB06266	"1-(2,4-dichlorbenzyl)-indazole-3-carboxylic acid | dica | diclondazolic acid | doridamina | lonidamin | lonidamina | lonidamine | lonidaminum"	"9606.ENSP00000494664, 9606.ENSP00000003084"	"HK1, CFTR"	"P19367, P13569"
udenafil	DB06267	udenafil	9606.ENSP00000347046	PDE5A	O76074
sitaxentan	DB06268	sitaxentan | sitaxsentan	"9606.ENSP00000366416, 9606.ENSP00000315011"	"EDNRB, EDNRA"	"P24530, P25101"
sulodexide	DB06271	sulodexida | sulodexide	"9606.ENSP00000356671, 9606.ENSP00000215727"	"SERPINC1, SERPIND1"	"P01008, P05546"
tocilizumab	DB06273	atlizumab | tocilizumab	9606.ENSP00000357470	IL6R	P08887
alvimopan	DB06274	alvimopan | alvimopan anhydrous | anhydrous alvimopan	"9606.ENSP00000234961, 9606.ENSP00000394624"	"OPRD1, OPRM1"	"P41143, P41145, P35372"
torcetrapib	DB06281	torcetrapib	9606.ENSP00000200676	CETP	P11597
levocetirizine	DB06282	2-(2-{4-[(r)-(4-chlorophenyl)(phenyl)methyl]piperazin-1-yl}ethoxy)acetic acid | levocetirizina | levocetirizine	9606.ENSP00000380247	HRH1	P35367
ziconotide	DB06283	ziconotida | ziconotide	"9606.ENSP00000489829, 9606.ENSP00000360423"	"CACNA1A, CACNA1B"	"O00555, Q00975"
teriparatide	DB06285	pth (1-34) | pth 1-34 | teriparatida | teriparatide | teriparatide recombinant human	9606.ENSP00000402723	PTH1R	Q03431
temsirolimus	DB06287	temsirolimus	9606.ENSP00000354558	MTOR	P42345
